Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;09:23:10;30,00;"SIN PLOMO 95";22,642;3;2026086274
2026-06-03;09:23:50;60,00;"GASOLEO A";38,986;1;2026086275
2026-06-03;09:24:06;50,00;"GASOLEO A";32,489;4;2026086276
2026-06-03;09:24:19;10,00;"GASOLEO A";6,498;2;2026086277
2026-06-03;09:27:23;30,00;"GASOLEO A";19,493;2;2026086278
2026-06-03;09:28:25;20,00;"GASOLEO A";12,995;4;2026086279
2026-06-03;09:30:10;50,00;"GASOLEO A";32,489;1;2026086281
2026-06-03;09:30:23;35,00;"GASOLEO A";22,742;2;2026086282
2026-06-03;09:31:49;50,00;"GASOLEO A";32,489;3;2026086283
2026-06-03;09:32:01;20,00;"SIN PLOMO 95";15,094;4;2026086284
2026-06-03;09:33:51;30,00;"GASOLEO A";19,493;1;2026086285
2026-06-03;09:35:02;40,00;"GASOLEO A";25,991;4;2026086286
2026-06-03;09:37:56;15,00;"GASOLEO A";9,747;2;2026086288
2026-06-03;09:38:29;50,00;"GASOLEO A";32,489;1;2026086289
2026-06-03;09:40:03;20,00;"SIN PLOMO 95";15,094;4;2026086291
2026-06-03;09:40:46;60,00;"GASOLEO A";38,986;2;2026086292
2026-06-03;09:49:14;50,00;"GASOLEO A";32,489;3;2026006458
2026-06-03;09:51:28;30,00;"GASOLEO A";19,493;4;2026086296
2026-06-03;09:53:56;9,00;"GASOLEO A";5,848;4;2026086297
2026-06-03;09:54:22;4,00;"SIN PLOMO 95";3,019;3;2026086298
2026-06-03;09:55:20;45,00;"GASOLEO A";29,240;1;2026006459
2026-06-03;09:57:13;29,02;"SIN PLOMO 95";21,902;2;2026086299
2026-06-03;09:58:00;20,00;"SIN PLOMO 95";15,094;4;2026086300
2026-06-03;09:58:47;20,00;"SIN PLOMO 95";15,094;3;2026006460
2026-06-03;09:59:25;30,00;"GASOLEO A";19,493;2;2026086301
2026-06-03;10:00:33;5,08;"GASOLEO A";3,301;1;2026086303
2026-06-03;10:01:06;10,00;"GASOLEO A";6,498;4;2026086304
2026-06-03;10:02:07;15,00;"GASOLEO A";9,747;2;2026086305
2026-06-03;10:02:50;20,00;"SIN PLOMO 95";15,094;3;2026086306
2026-06-03;10:03:37;39,00;"GASOLEO A";25,341;2;2026086307
2026-06-03;10:05:42;10,00;"GASOLEO A";6,498;1;2026086308
2026-06-03;10:06:55;20,00;"GASOLEO A";12,995;1;2026086309
2026-06-03;10:11:50;20,00;"SIN PLOMO 95";15,094;2;2026086311
2026-06-03;10:12:20;53,00;"GASOLEO A";34,438;3;2026086312
2026-06-03;10:15:29;60,00;"SIN PLOMO 95";45,283;2;2026086314
2026-06-03;10:16:36;40,00;"GASOLEO A";25,991;4;2026006461
2026-06-03;10:22:03;73,01;"GASOLEO A";47,440;2;2026086316
2026-06-03;10:26:07;20,00;"SIN PLOMO 95";15,094;2;2026086318
2026-06-03;10:26:40;50,00;"GASOLEO A";32,489;4;2026086319
2026-06-03;10:27:07;40,00;"GASOLEO A";25,991;1;2026086320
2026-06-03;10:28:25;15,00;"GASOLEO A";9,747;3;2026086322
2026-06-03;10:31:24;2,00;"SIN PLOMO 95";1,509;2;2026086325
2026-06-03;10:35:16;17,79;"GASOLEO A";11,559;1;2026086326
2026-06-03;10:35:45;20,00;"GASOLEO A";12,995;3;2026086327
2026-06-03;10:39:01;62,05;"GASOLEO A";40,318;2;2026086328
2026-06-03;10:41:17;40,00;"SIN PLOMO 95";30,189;4;2026086329
2026-06-03;10:41:58;40,00;"GASOLEO A";25,991;2;2026086330
2026-06-03;10:43:58;15,00;"GASOLEO A";9,747;4;2026086332
2026-06-03;10:46:25;10,00;"GASOLEO A";6,498;2;2026086334
2026-06-03;10:46:55;13,22;"GASOLEO A";8,590;1;2026086335
2026-06-03;10:47:37;50,00;"GASOLEO A";32,489;3;2026006462
2026-06-03;10:48:16;60,00;"GASOLEO A";38,986;1;2026086336
2026-06-03;10:50:13;30,00;"SIN PLOMO 95";22,642;4;2026006463
2026-06-03;10:53:28;15,00;"GASOLEO A";9,747;2;2026086339
2026-06-03;10:54:02;50,00;"SIN PLOMO 95";37,736;1;2026086340
2026-06-03;10:54:29;33,00;"GASOLEO A";21,442;1;2026086341
2026-06-03;10:55:11;20,00;"GASOLEO A";12,995;4;2026086342
2026-06-03;10:57:32;100,00;"GASOLEO A";64,977;3;2026006464
2026-06-03;10:58:01;47,71;"GASOLEO A";31,001;2;2026086343
2026-06-03;10:58:24;30,00;"GASOLEO A";19,493;1;2026086344
2026-06-03;10:59:15;30,00;"GASOLEO A";19,493;4;2026086345
2026-06-03;11:01:15;20,00;"GASOLEO A";12,995;2;2026086346
2026-06-03;11:02:45;30,00;"GASOLEO A";19,493;4;2026086347
2026-06-03;11:03:16;20,00;"GASOLEO A";12,995;3;2026086348
2026-06-03;11:04:49;30,00;"GASOLEO A";19,493;2;2026086349
2026-06-03;11:06:28;50,00;"SIN PLOMO 95";37,736;4;2026086350
2026-06-03;11:07:37;50,00;"SIN PLOMO 95";37,736;2;2026086351
2026-06-03;11:09:26;50,00;"GASOLEO A";32,489;3;2026086352
2026-06-03;11:09:28;20,00;"SIN PLOMO 95";15,094;2;2026086353
2026-06-03;11:11:51;50,00;"GASOLEO A";32,489;2;2026086354
2026-06-03;11:12:44;30,00;"GASOLEO A";19,493;1;2026086355
2026-06-03;11:13:09;73,03;"GASOLEO A";47,453;4;2026086356
2026-06-03;11:14:26;20,00;"GASOLEO A";12,995;3;2026006465
2026-06-03;11:16:55;20,00;"GASOLEO A";12,995;4;2026086357
2026-06-03;11:17:20;10,00;"GASOLEO A";6,498;2;2026086358
2026-06-03;11:17:51;10,00;"GASOLEO A";6,498;1;2026086359
2026-06-03;11:21:09;50,00;"GASOLEO A";32,489;2;2026086360
2026-06-03;11:23:04;67,82;"GASOLEO A";44,068;3;2026006466
2026-06-03;11:28:18;20,00;"GASOLEO A";12,995;1;2026006467
