Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-05-05;06:36:37;20,00;"GASOLEO A";12,666;4;2026070829
2026-05-05;06:47:22;19,00;"GASOLEO A";12,033;4;2026070830
2026-05-05;06:49:34;50,01;"GASOLEO A";31,672;2;2026005198
2026-05-05;06:51:07;35,00;"GASOLEO A";22,166;4;2026070831
2026-05-05;06:51:49;20,00;"SIN PLOMO 95";14,959;3;2026070832
2026-05-05;06:53:47;111,00;"GASOLEO A";70,298;1;2026005199
2026-05-05;06:57:40;15,00;"GASOLEO A";9,500;1;2026070833
2026-05-05;06:58:21;20,00;"GASOLEO A";12,666;2;2026070834
2026-05-05;07:15:39;18,00;"GASOLEO A";11,400;4;2026070837
2026-05-05;07:16:21;20,00;"GASOLEO A";12,666;3;2026070838
2026-05-05;07:16:54;5,00;"SIN PLOMO 95";3,740;4;2026070839
2026-05-05;07:21:25;10,00;"GASOLEO A";6,333;1;2026070840
2026-05-05;07:23:36;50,00;"GASOLEO A";31,666;2;2026070841
2026-05-05;07:27:59;10,00;"GASOLEO A";6,333;4;2026070843
2026-05-05;07:29:59;50,00;"GASOLEO A";31,666;2;2026070844
2026-05-05;07:31:12;40,00;"GASOLEO A";25,332;4;2026070845
2026-05-05;07:32:12;20,00;"SIN PLOMO 95";14,959;3;2026070846
2026-05-05;07:36:56;100,00;"GASOLEO A";63,331;1;2026070847
2026-05-05;07:38:04;50,00;"GASOLEO A";31,666;2;2026070848
2026-05-05;07:39:00;30,00;"GASOLEO A";18,999;4;2026005200
2026-05-05;07:41:19;10,00;"GASOLEO A";6,333;3;2026070849
2026-05-05;07:46:37;30,00;"GASOLEO A";18,999;2;2026070851
2026-05-05;07:46:46;10,00;"GASOLEO A";6,333;4;2026070852
2026-05-05;07:50:08;5,00;"SIN PLOMO 95";3,740;2;2026070853
2026-05-05;07:50:17;50,01;"GASOLEO A";31,672;1;2026070854
2026-05-05;07:51:22;30,00;"GASOLEO A";18,999;4;2026070855
2026-05-05;07:51:30;10,00;"GASOLEO A";6,333;3;2026070856
2026-05-05;07:52:26;50,00;"GASOLEO A";31,666;2;2026070857
2026-05-05;07:54:33;500,00;"SIN PLOMO 95";373,972;4;2026070858
2026-05-05;07:56:57;67,19;"GASOLEO A";42,552;3;2026005201
2026-05-05;07:59:16;24,52;"SIN PLOMO 95";18,340;2;2026070859
2026-05-05;07:59:46;39,04;"SIN PLOMO 95";29,200;1;2026070860
2026-05-05;08:00:58;20,00;"GASOLEO A";12,666;3;2026070862
2026-05-05;08:06:29;10,00;"GASOLEO A";6,333;2;2026070864
2026-05-05;08:07:32;20,00;"GASOLEO A";12,666;1;2026070865
2026-05-05;08:09:16;60,00;"GASOLEO A";37,999;3;2026070866
2026-05-05;08:12:44;40,00;"GASOLEO A";25,332;1;2026070867
2026-05-05;08:13:21;60,00;"GASOLEO A";37,999;3;2026070868
2026-05-05;08:14:40;59,38;"SIN PLOMO 95";44,413;2;2026070869
2026-05-05;08:14:49;500,00;"SIN PLOMO 95";373,972;4;2026070870
2026-05-05;08:15:38;5,00;"SIN PLOMO 95";3,740;1;2026070871
2026-05-05;08:16:41;20,00;"SIN PLOMO 95";14,959;2;2026005202
2026-05-05;08:17:26;40,00;"GASOLEO A";25,332;3;2026070872
2026-05-05;08:18:04;30,00;"GASOLEO A";18,999;1;2026070873
2026-05-05;08:22:01;68,23;"GASOLEO A";43,211;2;2026070874
2026-05-05;08:22:17;15,00;"GASOLEO A";9,500;1;2026070875
2026-05-05;08:23:21;30,00;"GASOLEO A";18,999;2;2026070876
2026-05-05;08:24:03;73,25;"GASOLEO A";46,390;3;2026005203
2026-05-05;08:25:05;10,00;"GASOLEO A";6,333;1;2026070877
2026-05-05;08:25:48;60,00;"GASOLEO A";37,999;2;2026070878
2026-05-05;08:26:26;500,00;"SIN PLOMO 95";373,972;4;2026070880
2026-05-05;08:29:00;4,00;"SIN PLOMO 95";2,992;1;2026070881
2026-05-05;08:30:06;10,00;"GASOLEO A";6,333;2;2026070882
2026-05-05;08:31:36;50,00;"GASOLEO A";31,666;3;2026005204
2026-05-05;08:36:03;91,01;"GASOLEO A";57,638;2;2026005205
2026-05-05;08:36:52;60,70;"GASOLEO A";38,442;1;2026070883
2026-05-05;08:37:05;20,00;"GASOLEO A";12,666;2;2026070884
2026-05-05;08:37:15;-105,14;"SIN PLOMO 95";-78,639;4;2026070885
2026-05-05;08:37:32;105,14;"SIN PLOMO 95";78,639;4;2026070886
2026-05-05;08:38:09;10,00;"SIN PLOMO 95";7,479;3;2026070887
2026-05-05;08:38:51;20,00;"GASOLEO A";12,666;1;2026070888
2026-05-05;08:40:58;500,00;"SIN PLOMO 95";373,972;4;2026070891
2026-05-05;08:41:04;5,00;"SIN PLOMO 95";3,740;2;2026070892
2026-05-05;08:43:35;15,00;"SIN PLOMO 95";11,219;1;2026070893
2026-05-05;08:43:45;20,00;"GASOLEO A";12,666;2;2026070894
2026-05-05;08:44:19;40,00;"GASOLEO A";25,332;3;2026070895
2026-05-05;08:46:25;50,00;"GASOLEO A";31,666;1;2026070896
2026-05-05;08:51:32;500,00;"SIN PLOMO 95";373,972;4;2026070897
2026-05-05;08:52:56;10,00;"SIN PLOMO 95";7,479;2;2026070898
2026-05-05;08:54:39;84,13;"GASOLEO A";53,281;2;2026070899
2026-05-05;08:56:03;5,00;"SIN PLOMO 95";3,740;1;2026070900
2026-05-05;08:56:40;30,00;"GASOLEO A";18,999;3;2026070901
2026-05-05;08:57:30;6,68;"SIN PLOMO 95";5,000;2;2026070902
2026-05-05;08:58:23;66,00;"GASOLEO A";41,799;2;2026070903
2026-05-05;08:59:31;50,00;"GASOLEO A";31,666;1;2026005206
2026-05-05;09:00:30;20,00;"GASOLEO A";12,666;2;2026070904
2026-05-05;09:01:07;10,00;"GASOLEO A";6,333;3;2026005207
2026-05-05;09:02:32;20,00;"GASOLEO A";12,666;3;2026070905
2026-05-05;09:02:44;400,00;"SIN PLOMO 95";299,177;4;2026070906
2026-05-05;09:03:32;20,00;"GASOLEO A";12,666;1;2026070907
2026-05-05;09:04:37;50,00;"GASOLEO A";31,666;2;2026070908
